	SFC-023_S32_L002_alignment.bam	SFC-025_S33_L002_alignment.bam	SFC13_S23_L002_alignment.bam	SFC14_S17_L001_alignment.bam	SFC15-CM_S29_L002_alignment.bam	SFC16_S6_L001_alignment.bam	SFC17_S7_L001_alignment.bam	SFC-18_S20_L002_alignment.bam	SFC19_S24_L002_alignment.bam	SFC-21_S22_L002_alignment.bam	SFC22_S9_L001_alignment.bam	SFD1-CM_S28_L002_alignment.bam	SFM-10_S1_L001_alignment.bam	SFM-1_S11_L001_alignment.bam	SFM-3_S12_L001_alignment.bam	SFM-5_S2_L001_alignment.bam	SFM-6_S3_L001_alignment.bam	SFM-7_S13_L001_alignment.bam	SFM-8_S8_L001_alignment.bam	SFM9_S10_L001_alignment.bam	SFU2_S5_L001_alignment.bam	SFU-3_S21_L002_alignment.bam	SXC2_S4_L001_alignment.bam	IFC63_S16_L001_alignment.bam	IFC66_S31_L002_alignment.bam	IFD6_S1alignment.bam	IFD8_S2alignment.bam	IFM047_S10alignment.bam	IFM-049_S6alignment.bam	IFM050_S11alignment.bam	IFM054_S12alignment.bam	IFM058_S13alignment.bam	IFM060_S14alignment.bam	IFM061_S15alignment.bam	IFM12_S16alignment.bam	IFM14_S7alignment.bam	IFM21_S3alignment.bam	IFM23_S4alignment.bam	IFM24_S5alignment.bam	IFM26_S8alignment.bam	IFM27_S9alignment.bam	IFM53_S14_L001_alignment.bam	IFM56_S15alignment.bam	IFM57_S30_L002_alignment.bam
Cluster-0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80
Cluster-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0
Cluster-2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0
Cluster-3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0
Cluster-4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0
Cluster-5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0
Cluster-6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0
Cluster-7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0
Cluster-8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0
Cluster-9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0
Cluster-10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
Cluster-10.1	0	0	0	1	0	0	154	0	0	0	0	0	0	4776	1	0	0	1	0	0	1	0	0	0	0	2	2	1	1	50	3	3	3	0	3	0	1	1	0	0	1	3	0	0
Cluster-10.2	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.3	1	0	83	0	0	0	13	0	27	6	0	0	9	15	17	0	1	0	0	0	13	0	0	58	0	0	0	0	0	0	1	0	1	59	0	15	4	0	25	0	89	0	0	0
Cluster-10.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0
Cluster-10.5	0	16	36	22	102	53	201	502	48	0	54	0	217	86	10	34	68	901	25	0	82	156	10	83	70	63	64	97	97	1172	48	875	9	136	1187	14	54	7	69	142	27	31	0	11
Cluster-10.6	1	0	0	0	0	12	0	0	0	0	0	0	13	0	0	0	0	0	8	0	2	0	0	10	34	0	0	0	0	0	0	0	0	12	22	0	52	1	4	0	28	0	0	0
Cluster-10.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Cluster-10.9	0	5	35	4	0	0	0	16	0	0	0	0	0	0	23	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0
Cluster-10.10	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0
Cluster-10.11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149
Cluster-10.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0
Cluster-10.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	251	0
Cluster-10.14	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cluster-10.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	8	0
Cluster-10.16	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.17	0	0	0	8	0	1	18	1	1	0	5	0	1	1	2	0	0	10	5	0	2	5	0	1	9	1	2	20	1	173	6	2	0	2	67	0	15	1	0	0	11	0	0	1
Cluster-10.18	1	2	3	215	1	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	938	0	0	1896	0	2	0	0	0	0	1382	1	1	6	0	1	0	0	0	0	30	0	0
Cluster-10.19	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Cluster-10.20	0	0	25	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	10	0	0	2	0	0	0	1	0	0	0	0	26	0	0	0	0	0	0	1	0	0
Cluster-10.21	0	0	314	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Cluster-10.22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	2050	0	0	0	0	0	0	0	0	0
Cluster-10.23	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0
Cluster-10.24	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cluster-10.25	1	0	0	15	1	0	0	0	0	0	0	0	3	0	7	1	0	0	2	0	0	120	0	54	0	0	0	2	1	13	2	1	1	605	13	0	79	0	976	0	0	138	0	1
Cluster-10.26	1	1	0	0	0	0	0	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1621
Cluster-10.27	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.28	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.29	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Cluster-10.30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Cluster-10.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1540	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cluster-10.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4879	0	1	0	0	0	2	0	0	0	0	3	0	0	0
Cluster-10.34	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0
Cluster-10.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	784	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.38	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.39	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Cluster-10.40	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	48
Cluster-10.41	0	0	0	0	0	0	0	0	0	1	3	0	0	0	2	0	0	0	5	0	0	0	0	0	2	0	0	2	0	0	6	1	2	0	0	0	0	2	0	0	14	0	1	0
Cluster-10.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3025	2	0	0	0	2	0	0	0	0	0	1	0	0	0
Cluster-10.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3997	0	0	0	0	3	2	0	1	0	0	0	0	0	0
Cluster-10.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	11005	1	0	0	0	0	1	0	0	0	0	2	0	0	0
Cluster-10.45	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1845	0	0	35	0	0	0	0	0	3	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	9883	2	0	0	0	0	1	1	0	0	2	1	0	0	0
Cluster-10.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	10144	0	0	1	1	1	1	0	1	1	2	2	0	0	0
Cluster-10.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3441	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Cluster-10.49	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3353	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.50	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	4912	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Cluster-10.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1605	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Cluster-10.53	0	0	0	0	0	0	76	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Cluster-10.54	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0
Cluster-10.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1651	0	0	0	0	0	0	0	0	0	1	0	0	0	0
